# ###########
# [default parameters]
#   dict([('NL', '15'), ('NR', '15'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '0.'), ('TelR', '0.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
-3.867429e+00 1.620593e-06 1.620593e-06 2.273990e-09 2.475615e-09 5.820166e-01 1.214597e+00 1.620593e-02 1.620593e-02 1.148839e-08 7.297745e-09 -9.062947e-09 -9.723184e-09 -1.292934e-06 9.999921e-01 9.984772e-01
-3.865143e+00 1.622408e-06 1.622408e-06 2.200468e-09 2.488528e-09 5.820151e-01 1.214597e+00 1.622408e-02 1.622408e-02 1.112179e-08 7.336329e-09 -8.897751e-09 -9.560365e-09 -1.166617e-06 9.999921e-01 9.984772e-01
-3.862857e+00 1.624231e-06 1.624231e-06 2.215946e-09 2.364264e-09 5.820154e-01 1.214593e+00 1.624231e-02 1.624231e-02 1.120021e-08 6.963417e-09 -8.749306e-09 -9.414317e-09 -1.304245e-06 9.999921e-01 9.984773e-01
-3.860571e+00 1.626060e-06 1.626060e-06 2.149054e-09 2.387128e-09 5.820141e-01 1.214594e+00 1.626060e-02 1.626060e-02 1.086679e-08 7.031918e-09 -8.615648e-09 -9.283065e-09 -1.179193e-06 9.999921e-01 9.984773e-01
-3.858286e+00 1.627896e-06 1.627896e-06 2.135089e-09 2.330500e-09 5.820138e-01 1.214592e+00 1.627896e-02 1.627896e-02 1.079803e-08 6.861970e-09 -8.495078e-09 -9.164919e-09 -1.208940e-06 9.999921e-01 9.984773e-01
-3.856000e+00 1.629738e-06 1.629738e-06 2.114249e-09 2.293083e-09 5.820134e-01 1.214591e+00 1.629738e-02 1.629738e-02 1.069489e-08 6.749677e-09 -8.386145e-09 -9.058425e-09 -1.210384e-06 9.999921e-01 9.984773e-01
-3.853714e+00 1.631585e-06 1.631585e-06 2.113318e-09 2.229402e-09 5.820134e-01 1.214589e+00 1.631585e-02 1.631585e-02 1.069131e-08 6.558607e-09 -8.287593e-09 -8.962327e-09 -1.266469e-06 9.999921e-01 9.984773e-01
-3.851429e+00 1.633438e-06 1.633438e-06 2.073402e-09 2.236887e-09 5.820126e-01 1.214589e+00 1.633438e-02 1.633438e-02 1.049282e-08 6.581053e-09 -8.198335e-09 -8.875534e-09 -1.197401e-06 9.999921e-01 9.984773e-01
-3.849143e+00 1.635297e-06 1.635297e-06 2.062441e-09 2.201677e-09 5.820123e-01 1.214588e+00 1.635297e-02 1.635297e-02 1.043910e-08 6.475422e-09 -8.117418e-09 -8.797099e-09 -1.211913e-06 9.999921e-01 9.984773e-01
-3.846857e+00 1.637160e-06 1.637160e-06 2.048722e-09 2.176071e-09 5.820121e-01 1.214587e+00 1.637160e-02 1.637160e-02 1.037159e-08 6.398616e-09 -8.044016e-09 -8.726192e-09 -1.213374e-06 9.999921e-01 9.984774e-01
-3.844571e+00 1.639028e-06 1.639028e-06 1.993278e-09 2.224532e-09 5.820110e-01 1.214588e+00 1.639028e-02 1.639028e-02 1.009547e-08 6.544018e-09 -7.977402e-09 -8.662084e-09 -1.083401e-06 9.999921e-01 9.984773e-01
-3.842286e+00 1.640901e-06 1.640901e-06 2.016038e-09 2.146752e-09 5.820114e-01 1.214586e+00 1.640901e-02 1.640901e-02 1.021036e-08 6.310703e-09 -7.916930e-09 -8.604138e-09 -1.188268e-06 9.999921e-01 9.984773e-01
-3.840000e+00 1.642779e-06 1.642779e-06 1.994570e-09 2.146409e-09 5.820110e-01 1.214586e+00 1.642779e-02 1.642779e-02 1.010412e-08 6.309706e-09 -7.862040e-09 -8.551785e-09 -1.154877e-06 9.999921e-01 9.984774e-01
-3.837714e+00 1.644661e-06 1.644661e-06 1.975179e-09 2.145991e-09 5.820106e-01 1.214586e+00 1.644661e-02 1.644661e-02 1.000827e-08 6.308488e-09 -7.812230e-09 -8.504526e-09 -1.124785e-06 9.999921e-01 9.984773e-01
-3.835429e+00 1.646547e-06 1.646547e-06 1.979777e-09 2.108685e-09 5.820107e-01 1.214585e+00 1.646547e-02 1.646547e-02 1.003236e-08 6.196612e-09 -7.767053e-09 -8.461916e-09 -1.164784e-06 9.999921e-01 9.984774e-01
-3.833143e+00 1.648438e-06 1.648438e-06 1.965641e-09 2.105431e-09 5.820104e-01 1.214584e+00 1.648438e-02 1.648438e-02 9.962782e-09 6.186893e-09 -7.726116e-09 -8.423559e-09 -1.145293e-06 9.999921e-01 9.984774e-01
-3.830857e+00 1.650333e-06 1.650333e-06 1.948831e-09 2.109228e-09 5.820101e-01 1.214585e+00 1.650333e-02 1.650333e-02 9.879833e-09 6.198331e-09 -7.689064e-09 -8.389101e-09 -1.115382e-06 9.999921e-01 9.984774e-01
-3.828571e+00 1.652232e-06 1.652232e-06 1.942681e-09 2.097639e-09 5.820099e-01 1.214584e+00 1.652232e-02 1.652232e-02 9.850190e-09 6.163614e-09 -7.655579e-09 -8.358225e-09 -1.115635e-06 9.999921e-01 9.984774e-01
-3.826286e+00 1.654135e-06 1.654135e-06 1.928706e-09 2.101286e-09 5.820096e-01 1.214584e+00 1.654135e-02 1.654135e-02 9.781422e-09 6.174603e-09 -7.625378e-09 -8.330647e-09 -1.090243e-06 9.999921e-01 9.984774e-01
-3.824000e+00 1.656042e-06 1.656042e-06 1.941844e-09 2.061766e-09 5.820099e-01 1.214583e+00 1.656042e-02 1.656042e-02 9.848221e-09 6.056096e-09 -7.598204e-09 -8.306112e-09 -1.144936e-06 9.999921e-01 9.984774e-01
-3.821714e+00 1.657953e-06 1.657953e-06 1.918105e-09 2.085580e-09 5.820094e-01 1.214584e+00 1.657953e-02 1.657953e-02 9.730630e-09 6.127589e-09 -7.573830e-09 -8.284389e-09 -1.086593e-06 9.999921e-01 9.984774e-01
-3.819429e+00 1.659869e-06 1.659869e-06 1.943211e-09 2.029713e-09 5.820099e-01 1.214582e+00 1.659869e-02 1.659869e-02 9.857272e-09 5.960043e-09 -7.552044e-09 -8.265271e-09 -1.173957e-06 9.999921e-01 9.984774e-01
-3.817143e+00 1.661787e-06 1.661787e-06 1.926040e-09 2.045914e-09 5.820096e-01 1.214582e+00 1.661787e-02 1.661787e-02 9.772527e-09 6.008701e-09 -7.532660e-09 -8.248567e-09 -1.132463e-06 9.999921e-01 9.984774e-01
-3.814857e+00 1.663710e-06 1.663710e-06 1.940948e-09 2.010141e-09 5.820099e-01 1.214581e+00 1.663710e-02 1.663710e-02 9.848180e-09 5.901436e-09 -7.515506e-09 -8.234110e-09 -1.186127e-06 9.999921e-01 9.984774e-01
-3.812571e+00 1.665637e-06 1.665637e-06 1.922221e-09 2.031814e-09 5.820095e-01 1.214582e+00 1.665637e-02 1.665637e-02 9.755660e-09 5.966510e-09 -7.500428e-09 -8.221742e-09 -1.137448e-06 9.999921e-01 9.984774e-01
-3.810286e+00 1.667568e-06 1.667568e-06 1.913812e-09 2.037585e-09 5.820093e-01 1.214582e+00 1.667568e-02 1.667568e-02 9.714731e-09 5.983876e-09 -7.487284e-09 -8.211323e-09 -1.118652e-06 9.999921e-01 9.984774e-01
-3.808000e+00 1.669502e-06 1.669502e-06 1.905526e-09 2.044358e-09 5.820092e-01 1.214582e+00 1.669502e-02 1.669502e-02 9.674417e-09 6.004252e-09 -7.475946e-09 -8.202724e-09 -1.099180e-06 9.999921e-01 9.984774e-01
-3.805714e+00 1.671440e-06 1.671440e-06 1.906773e-09 2.036372e-09 5.820092e-01 1.214582e+00 1.671440e-02 1.671440e-02 9.681775e-09 5.980346e-09 -7.466294e-09 -8.195828e-09 -1.107258e-06 9.999921e-01 9.984774e-01
-3.803429e+00 1.673382e-06 1.673382e-06 1.911467e-09 2.023700e-09 5.820093e-01 1.214582e+00 1.673382e-02 1.673382e-02 9.706364e-09 5.942385e-09 -7.458223e-09 -8.190527e-09 -1.124663e-06 9.999921e-01 9.984774e-01
