# ###########
# [default parameters]
#   dict([('NL', '40'), ('NR', '2'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '5.'), ('lambdaL', '0.05'), ('lambdaR', '0.'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nOscL', 'nOscR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta_L', 'eta_R', 'commL', 'commR']
# ###########
# 
2.116200e+00 5.046682e-06 5.046682e-06 5.814245e-01 2.689414e-01 -1.360082e-07 7.299540e-15 7.209505e-08 6.391318e-08 -5.390006e-03 2.892808e-10 1.000000e+00 4.621172e-01
2.117600e+00 5.040944e-06 5.040944e-06 5.814193e-01 2.689414e-01 -1.372779e-07 5.605980e-14 7.275728e-08 6.452060e-08 -5.446517e-03 2.224179e-09 1.000000e+00 4.621172e-01
2.119000e+00 5.035219e-06 5.035219e-06 5.814141e-01 2.689414e-01 -1.385666e-07 3.748397e-13 7.342909e-08 6.513710e-08 -5.503894e-03 1.488871e-08 1.000000e+00 4.621172e-01
2.120400e+00 5.029509e-06 5.029509e-06 5.814089e-01 2.689414e-01 -1.398741e-07 6.017202e-13 7.411067e-08 6.576287e-08 -5.562139e-03 2.392759e-08 1.000000e+00 4.621172e-01
2.121800e+00 5.023812e-06 5.023812e-06 5.814035e-01 2.689414e-01 -1.412006e-07 2.418792e-13 7.480222e-08 6.639809e-08 -5.621252e-03 9.629308e-09 1.000000e+00 4.621172e-01
2.123200e+00 5.018129e-06 5.018129e-06 5.813980e-01 2.689414e-01 -1.425471e-07 2.090615e-13 7.550394e-08 6.704296e-08 -5.681285e-03 8.332247e-09 1.000000e+00 4.621172e-01
2.124600e+00 5.012460e-06 5.012460e-06 5.813925e-01 2.689414e-01 -1.439138e-07 7.952743e-14 7.621603e-08 6.769766e-08 -5.742241e-03 3.173189e-09 1.000000e+00 4.621172e-01
2.126000e+00 5.006805e-06 5.006805e-06 5.813869e-01 2.689414e-01 -1.453012e-07 1.251719e-13 7.693869e-08 6.836241e-08 -5.804149e-03 5.000070e-09 1.000000e+00 4.621172e-01
2.127400e+00 5.001165e-06 5.001165e-06 5.813812e-01 2.689414e-01 -1.467113e-07 1.751830e-12 7.767215e-08 6.903741e-08 -5.867086e-03 7.005689e-08 1.000000e+00 4.621172e-01
2.128800e+00 4.995538e-06 4.995538e-06 5.813754e-01 2.689414e-01 -1.481396e-07 9.440115e-14 7.841663e-08 6.972287e-08 -5.930877e-03 3.779419e-09 1.000000e+00 4.621172e-01
2.130200e+00 4.989925e-06 4.989925e-06 5.813695e-01 2.689415e-01 -1.496073e-07 1.595266e-11 7.917234e-08 7.041901e-08 -5.996374e-03 6.393946e-07 1.000000e+00 4.621171e-01
2.131600e+00 4.984327e-06 4.984327e-06 5.813636e-01 2.689414e-01 -1.510665e-07 9.040841e-13 7.993953e-08 7.112605e-08 -6.061660e-03 3.627708e-08 1.000000e+00 4.621172e-01
2.133000e+00 4.978743e-06 4.978743e-06 5.813576e-01 2.689414e-01 -1.525628e-07 9.714601e-14 8.071843e-08 7.184423e-08 -6.128565e-03 3.902431e-09 1.000000e+00 4.621172e-01
2.134400e+00 4.973174e-06 4.973174e-06 5.813514e-01 2.689414e-01 -1.540934e-07 1.031955e-11 8.150928e-08 7.257376e-08 -6.196983e-03 4.150086e-07 1.000000e+00 4.621171e-01
2.135800e+00 4.967619e-06 4.967619e-06 5.813452e-01 2.689414e-01 -1.556273e-07 3.131657e-14 8.231235e-08 7.331491e-08 -6.265670e-03 1.260828e-09 1.000000e+00 4.621172e-01
